Word;Tags;Strength;Weakness;Opportunity;Threat;Min;Max;Cat1;Cat2;Val1;Val2;Decision;Execution
Loss;Investment,Franchise,Stocks;81;19;29;71;0;100;S;T;81;71;S;Yes
Loss;Investment,Stocks;100;0;17;83;0;100;S;T;100;83;S;Yes
Loss;Franchise,Stocks;42;58;0;100;0;100;W;T;58;100;T;No
Loss;Franchise,Stocks;34;66;27;73;0;100;W;T;66;73;T;No
Loss;Stocks;75;25;90;10;0;100;S;O;75;90;O;Yes
Loss;Franchise;48;52;27;73;0;100;W;T;52;73;T;No
Loss;Investment;20;80;11;89;0;100;W;T;80;89;T;No
Loss;Investment,Franchise;77;23;62;38;0;100;S;O;77;62;S;Yes
Loss;Investment,Stocks;27;73;89;11;0;100;W;O;73;89;O;Yes
Loss;Franchise;20;80;34;66;0;100;W;T;80;66;W;No
Loss;Investment,Franchise,Stocks;95;5;88;12;0;100;S;O;95;88;S;Yes
Loss;Investment,Franchise,Stocks;84;16;36;64;0;100;S;T;84;64;S;Yes
Loss;Investment;70;30;17;83;0;100;S;T;70;83;T;No
Loss;Investment,Franchise;23;77;77;23;0;100;W;O;77;77;O;Yes
Loss;Investment,Franchise;33;67;0;100;0;100;W;T;67;100;T;No
Loss;Investment,Stocks;2;98;49;51;0;100;W;T;98;51;W;No
Loss;Investment;90;10;40;60;0;100;S;T;90;60;S;Yes
Loss;Franchise,Stocks;14;86;37;63;0;100;W;T;86;63;W;No
Loss;Stocks;74;26;84;16;0;100;S;O;74;84;O;Yes
Loss;Franchise;23;77;77;23;0;100;W;O;77;77;O;Yes
Marketing;Investment,Franchise,Stocks;94;6;29;71;0;100;S;T;94;71;S;Yes
Marketing;Investment,Franchise,Stocks;59;41;54;46;0;100;S;O;59;54;S;Yes
Marketing;Investment;89;11;41;59;0;100;S;T;89;59;S;Yes
Marketing;Investment,Franchise;17;83;66;34;0;100;W;O;83;66;W;No
Marketing;Investment,Franchise;34;66;21;79;0;100;W;T;66;79;T;No
Marketing;Investment,Stocks;33;67;7;93;0;100;W;T;67;93;T;No
Marketing;Investment;89;11;1;99;0;100;S;T;89;99;T;No
Marketing;Franchise,Stocks;13;87;55;45;0;100;W;O;87;55;W;No
Marketing;Stocks;84;16;89;11;0;100;S;O;84;89;O;Yes
Marketing;Franchise;88;12;76;24;0;100;S;O;88;76;S;Yes
Marketing;Investment,Franchise,Stocks;36;64;30;70;0;100;W;T;64;70;T;No
Marketing;Investment,Stocks;60;40;56;44;0;100;S;O;60;56;S;Yes
Marketing;Franchise,Stocks;37;63;10;90;0;100;W;T;63;90;T;No
Marketing;Franchise,Stocks;56;44;49;51;0;100;S;T;56;51;S;Yes
Marketing;Stocks;44;56;72;28;0;100;W;O;56;72;O;Yes
Marketing;Franchise;9;91;80;20;0;100;W;O;91;80;W;No
Marketing;Investment;23;77;83;17;0;100;W;O;77;83;O;Yes
Marketing;Investment,Franchise;79;21;80;20;0;100;S;O;79;80;O;Yes
Marketing;Investment,Stocks;53;47;69;31;0;100;S;O;53;69;O;Yes
Marketing;Franchise;64;36;78;22;0;100;S;O;64;78;O;Yes
