Word;Strength;Weakness;Opportunity;Threat;Min;Max;Cat1;Cat2;Val1;Val2;Decision;Execution
Loss;92;8;24;76;0;100;S;T;92;76;S;Yes
Loss;19;81;20;80;0;100;W;T;81;80;W;No
Loss;76;24;50;50;0;100;S;T;76;50;S;Yes
Loss;47;53;23;77;0;100;W;T;53;77;T;No
Loss;40;60;99;1;0;100;W;O;60;99;O;Yes
Loss;90;10;92;8;0;100;S;O;90;92;O;Yes
Loss;36;64;14;86;0;100;W;T;64;86;T;No
Loss;71;29;50;50;0;100;S;T;71;50;S;Yes
Loss;4;96;27;73;0;100;W;T;96;73;W;No
Loss;23;77;28;72;0;100;W;T;77;72;W;No
Loss;43;57;94;6;0;100;W;O;57;94;O;Yes
Loss;83;17;22;78;0;100;S;T;83;78;S;Yes
Loss;50;50;94;6;0;100;W;O;50;94;O;Yes
Loss;35;65;52;48;0;100;W;O;65;52;W;No
Loss;3;97;97;3;0;100;W;O;97;97;O;Yes
Loss;61;39;8;92;0;100;S;T;61;92;T;No
Loss;100;0;71;29;0;100;S;O;100;71;S;Yes
Loss;52;48;33;67;0;100;S;T;52;67;T;No
Loss;72;28;42;58;0;100;S;T;72;58;S;Yes
Loss;33;67;73;27;0;100;W;O;67;73;O;Yes
Marketing;6;94;2;98;0;100;W;T;94;98;T;No
Marketing;16;84;32;68;0;100;W;T;84;68;W;No
Marketing;34;66;23;77;0;100;W;T;66;77;T;No
Marketing;31;69;37;63;0;100;W;T;69;63;W;No
Marketing;73;27;81;19;0;100;S;O;73;81;O;Yes
Marketing;85;15;9;91;0;100;S;T;85;91;T;No
Marketing;100;0;41;59;0;100;S;T;100;59;S;Yes
Marketing;70;30;10;90;0;100;S;T;70;90;T;No
Marketing;73;27;77;23;0;100;S;O;73;77;O;Yes
Marketing;72;28;45;55;0;100;S;T;72;55;S;Yes
Marketing;82;18;81;19;0;100;S;O;82;81;S;Yes
Marketing;84;16;56;44;0;100;S;O;84;56;S;Yes
Marketing;67;33;88;12;0;100;S;O;67;88;O;Yes
Marketing;45;55;35;65;0;100;W;T;55;65;T;No
Marketing;16;84;20;80;0;100;W;T;84;80;W;No
Marketing;93;7;12;88;0;100;S;T;93;88;S;Yes
Marketing;65;35;78;22;0;100;S;O;65;78;O;Yes
Marketing;41;59;60;40;0;100;W;O;59;60;O;Yes
Marketing;7;93;20;80;0;100;W;T;93;80;W;No
Marketing;70;30;59;41;0;100;S;O;70;59;S;Yes
Investment;40;60;77;23;0;100;W;O;60;77;O;Yes
Investment;8;92;66;34;0;100;W;O;92;66;W;No
Investment;42;58;8;92;0;100;W;T;58;92;T;No
Investment;75;25;56;44;0;100;S;O;75;56;S;Yes
Investment;31;69;36;64;0;100;W;T;69;64;W;No
Investment;79;21;47;53;0;100;S;T;79;53;S;Yes
Investment;72;28;86;14;0;100;S;O;72;86;O;Yes
Investment;9;91;67;33;0;100;W;O;91;67;W;No
Investment;81;19;58;42;0;100;S;O;81;58;S;Yes
Investment;48;52;33;67;0;100;W;T;52;67;T;No
Investment;43;57;79;21;0;100;W;O;57;79;O;Yes
Investment;47;53;82;18;0;100;W;O;53;82;O;Yes
Investment;14;86;56;44;0;100;W;O;86;56;W;No
Investment;71;29;88;12;0;100;S;O;71;88;O;Yes
Investment;7;93;90;10;0;100;W;O;93;90;W;No
Investment;9;91;56;44;0;100;W;O;91;56;W;No
Investment;52;48;22;78;0;100;S;T;52;78;T;No
Investment;64;36;99;1;0;100;S;O;64;99;O;Yes
Investment;57;43;28;72;0;100;S;T;57;72;T;No
Investment;84;16;37;63;0;100;S;T;84;63;S;Yes
Budget;54;46;30;70;0;100;S;T;54;70;T;No
Budget;20;80;51;49;0;100;W;O;80;51;W;No
